"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C6, C9, C10, C12, C14, C18, C19, C20, C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";13;"0.1 µF";;;
2;"C5, C7, C8, C11, C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"10 µF";;;
3;"C15, C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22 pF";;;
4;"C17";"CP_EIA-6032-28_Kemet-C_HandSolder";1;"10 µF";;;
5;"C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2 µF";;;
6;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5V_LED";;;
7;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3V3_LED";;;
8;"D3";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
9;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"USB_LED";;;
10;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"USER_LED";;;
11;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
12;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M1_CONN";;;
13;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M2_CONN";;;
14;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"BATT_CONN";;;
15;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_MPU6050";;;
16;"J5";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_CONN";;;
17;"J6";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"ENCODER_CONN";;;
18;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
19;"J8";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_14P";;;
20;"J9";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"MT6701_CONN";;;
21;"R1, R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1kΩ";;;
22;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
23;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
24;"R5, R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5.1 kΩ";;;
25;"R7, R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22 Ω";;;
26;"R9, R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1 kΩ";;;
27;"S1";"SW_SLW-66527511-SMT-TR";1;"RST_SWITCH";;;
28;"S2";"SW_SLW-66527511-SMT-TR";1;"Regulator_Switch";;;
29;"SW1";"SW_uP_Reset";1;"SW_UP_Reset";;;
30;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RBTx";;;
31;"U2";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
32;"U3";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
33;"U4";"SSOP-24_5.3x8.2mm_P0.65mm";1;"TB6612FNG";;;
34;"U5";"SOT-23-6";1;"USBLC6-2SC6";;;
35;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
